geo;final_2016;final_hh_2016;final_hh_2000
Germany;216;681;794
France;147;596;667
UK;134;580;731
Italy;116;531;485
Spain;83;324;296
Poland;67;520;449
Netherlands;50;579;680
Belgium;36;718;924
Sweden;33;752;823
Austria;28;724;791
Finland;25;963;867
Czechia;25;662;626
Romania;22;376;375
Norway;19;815;852
Hungary;18;627;549
Greece;17;398;417
Portugal;16;254;273
Denmark;14;779;779
Ireland;12;561;660
Slovakia;10;374;480
Bulgaria;10;316;264
Serbia;9;417;416
Croatia;7;574;514
Lithuania;5;502;391
Slovenia;5;556;567
Luxembourg;4;842;1073
Latvia;4;584;560
Iceland;3;1415;1105
Estonia;3;707;665
Albania;2;177;123
Macedonia;2;238;237
Cyprus;2;383;253
Malta;1;178;195
